date;est_weekend;est_ferie;period_soldes;produit_id;nom_produit;client_id;jour_semaine;quantite_vente;event_commerciaux;segment;campagne_marketing;remise_pct;genre_client;prix;prix_concurrent_moyen;saisonnalite;taux-fidelite
20/04/2019;1;0;0;PROD-9F1E2D3C;Campelée Aragis;CLI-7C8D9E0F;Saturday;35;Spring Sale;Standard;TV;0.23;M;128.50;35.77;0.8;0.62
22/04/2019;0;0;0;PROD-717;Kit Hydroponie Décoratif;CLI-144;Lundi;8;Jour_Terre;Professionnel;Emailing;10;F;149.00;157.00;1.6;1.00
15/05/2019;0;0;0;PROD-103;Table Basse en Chéne Massif;CLI-144;Mercredi;7;Fete_Meres;Professionnel;Google_Ads;0;Autre;129.00;136.00;1.4;0.18
18/05/2019;1;0;0;PROD-834;Lumiére Pollinisatrice;CLI-144;Samedi;15;Fete_Meres;Professionnel;Reseaux_Sociaux;0;M;459.00;480.00;1.6;0.38
25/05/2019;1;0;0;PROD-508;Housse de Couette Lin;CLI-122;Samedi;8;Fete_Meres;Particulier;Google_Ads;0;Autre;129.00;135.00;1.5;0.35
27/05/2019;1;0;0;PROD-2D3E4F5A;Campelée Aragis;CLI-8E9F0A1B;Monday;28;Memorial Day;Standard;Email;0.11;M;133.99;37.25;0.8;0.70
18/06/2019;0;0;0;PROD-703;Claustra Bois Exotique;CLI-211;Mardi;9;Solstice_Ete;Professionnel;Google_Ads;0;F;499.00;525.00;1.9;0.68
22/06/2019;1;0;0;PROD-202;Fauteuil Papillon Velours;CLI-077;Samedi;11;Solstice_Ete;Professionnel;Influenceurs;20;Autre;259.00;272.00;1;0.35
30/06/2019;1;0;0;PROD-1A9B8C7D;Mivari Boulotre;CLI-6B7C8D9E;Sunday;32;Summer Start;Economy;Search Ads;0.08;F;45.91;52.33;0.2;0.29
03/07/2019;0;0;0;PROD-605;Lanterne d'Extérieur Fer Forgé;CLI-211;Mercredi;13;None;Particulier;Google_Ads;0;M;119.00;125.00;1.8;0.70
17/07/2019;0;0;0;PROD-818;Suspension Lave;CLI-211;Mercredi;7;None;Professionnel;Influenceurs;0;M;790.00;830.00;1.8;0.50
08/08/2019;0;0;0;PROD-725;Systéme d'Arrosage Intelligent;CLI-144;Jeudi;9;None;Professionnel;Google_Ads;0;M;199.00;210.00;1.8;0.34
10/08/2019;1;0;0;PROD-501;Tapis Tressé Jute;CLI-033;Samedi;12;Solstice_Ete;Particulier;Reseaux_Sociaux;0;M;94.99;89.00;1.8;1.18
15/08/2019;0;0;0;PROD-3B4C5D6E;Saphin Bioluminescent;CLI-7B8C9D0E;Thursday;25;Summer Sale;Premium;Email;0.22;Autre;195.50;198.77;0.5;0.88
30/08/2019;0;0;0;PROD-509;Set de Rangement Cuisine;CLI-033;Vendredi;11;None;Professionnel;None;0;M;89.90;84.00;1.1;0.44
02/09/2019;1;0;0;PROD-2E3F4A5B;Mivari Boulotre;CLI-8C9D0E1F;Monday;27;Labor Day;Economy;Affiliation;0.13;F;47.12;53.67;0.2;0.37
07/09/2019;0;0;0;PROD-103;Table Basse en Chéne Massif;CLI-144;Samedi;6;Rentree;Particulier;None;0;M;135.00;142.00;1.1;0.31
12/10/2019;0;0;0;PROD-502;Cadre Photo Bambou;CLI-121;Samedi;3;None;Professionnel;None;0;F;31.50;33.00;0.7;0.30
31/10/2019;1;0;0;PROD-826;Lanterne Fantéme;CLI-144;Jeudi;25;Halloween;Professionnel;Influenceurs;20;F;89.90;84.00;2.3;0.18
31/10/2019;1;0;0;PROD-622;Décor Fantéme Lumineux;CLI-200;Jeudi;22;Halloween;Particulier;Influenceurs;20;M;39.90;42.00;2.0;0.38
31/10/2019;0;0;0;PROD-1A2B3C4D;Coussins Halloween;CLI-8B9C0D1E;Thursday;31;Halloween;Economy;Email;0.04;M;175.28;160.45;0.5;0.55
11/11/2019;0;1;0;PROD-732;Vitrine Musée Domestique;CLI-256;Lundi;9;Armistice;Particulier;Influenceurs;0;M;1290.00;1355.00;1.3;0.20
15/11/2019;0;0;0;PROD-606;Pouf en Cuir Recyclé;CLI-033;Vendredi;15;Black_Friday;Professionnel;Emailing;25;F;149.90;157.00;1.9;0.31
23/11/2019;1;0;1;PROD-E7F2A1B8;Campelée Aragis;CLI-1B2C3D4E;Saturday;25;Soldes;Standard;Search Ads;0.12;F;132.75;40.05;0.8;0.93
29/11/2019;1;0;0;PROD-401;Ensemble de Verres Design;CLI-099;Vendredi;18;Black_Friday;Particulier;Emailing;35;M;37.50;35.50;1.9;1.27
01/12/2019;1;0;0;PROD-810;Tapis Sensitif;CLI-144;Samedi;18;Noel;Professionnel;Emailing;10;M;799.00;750.00;2.5;0.43
24/12/2019;0;0;0;PROD-101;Suspension en Rotin Naturel;CLI-211;Mardi;26;Noel;Professionnel;Emailing;25;F;74.99;79.00;2.7;0.17
31/12/2019;1;0;1;PROD-2A3B4C5D;Saphi NFT;CLI-4E5F6A7B;Tuesday;38;New Year's Eve;Premium;Email;0.33;M;103.63;192.12;1.0;0.74
01/01/2020;1;1;1;PROD-8C9D0E1F;Saphi NFT;CLI-4B5C6D7E;Wednesday;28;New Year;Premium;Social Media;0.26;F;108.92;188.33;1.0;0.78
08/01/2020;0;0;1;PROD-101;Suspension en Rotin Naturel;CLI-145;Mercredi;7;Soldes_Hiver;Professionnel;Emailing;25;F;79.99;84.50;1.6;0.28
08/01/2020;0;0;1;PROD-101;Suspension en Rotin Naturel;CLI-145;Mercredi;7;Soldes_Hiver;Professionnel;Emailing;25;F;79.99;84.50;1.6;0.99
18/01/2020;1;0;1;PROD-510;Suspension Origami;CLI-088;Samedi;13;Soldes_Hiver;Particulier;Emailing;20;F;109.00;115.00;1.9;0.29
25/01/2020;1;0;1;PROD-819;Mur d'Eau Portatif;CLI-144;Samedi;11;Soldes_Hiver;Particulier;Emailing;20;Autre;1490.00;1570.00;1.7;0.29
01/02/2020;1;0;0;PROD-503;Suspension Macramé;CLI-045;Samedi;7;Saint_Valentin;Professionnel;Influenceurs;10;F;71.00;74.50;1.3;0.33
02/02/2020;0;0;0;PROD-835;Mur Tactile Aquatique;CLI-099;Dimanche;5;Chandeleur;Particulier;Influenceurs;0;F;3490.00;3300.00;1.3;1.20
08/02/2020;0;0;0;PROD-9C0D4E3F;Coussins Halloween;CLI-5E6F7A8B;Saturday;26;No Event;Economy;Social Media;0.06;M;192.65;157.64;0.5;0.42
14/02/2020;0;0;0;PROD-303;Plaid en Laine Mérinos;CLI-289;Vendredi;12;Saint_Valentin;Particulier;Influenceurs;10;F;64.90;68.00;1.3;1.84
14/02/2020;0;0;0;PROD-303;Plaid en Laine Mérinos;CLI-289;Vendredi;12;Saint_Valentin;Particulier;Influenceurs;10;F;64.90;68.00;1.3;0.26
29/02/2020;1;0;0;PROD-718;Plateau Tournant Vinyle;CLI-099;Samedi;5;None;Particulier;Reseaux_Sociaux;0;M;129.00;120.00;1.3;0.25
08/03/2020;1;0;0;PROD-704;Fontaine Murale Zen;CLI-088;Dimanche;6;Printemps;Particulier;Reseaux_Sociaux;10;M;179.90;190.00;1.5;0.25
15/03/2020;0;0;0;PROD-102;Miroir Bohéme 80cm;CLI-200;Dimanche;5;Printemps;Particulier;Google_Ads;0;M;149.00;157.00;1.1;0.35
17/03/2020;0;0;0;PROD-7D8E9F0A;Ensemble Verres Design;CLI-2C3D4E5F;Tuesday;31;St. Patrick's;Standard;Social Media;0.32;F;17.25;47.63;1.0;0.42
21/03/2020;1;0;0;PROD-305;Pot de Fleurs Design Terracotta;CLI-077;Samedi;5;Printemps;Professionnel;Google_Ads;0;M;34.50;36.25;1.1;0.38
21/03/2020;1;0;0;PROD-305;Pot de Fleurs Design Terracotta;CLI-077;Samedi;5;Printemps;Professionnel;Google_Ads;0;M;34.50;36.25;1.1;0.42
05/04/2020;1;0;0;PROD-607;Table d'Appoint Marbre;CLI-088;Samedi;8;Paques;Particulier;Reseaux_Sociaux;0;F;249.00;235.00;1.5;0.18
10/04/2020;1;0;0;PROD-204;Parure de Coussins;CLI-120;Vendredi;9;Paques;Professionnel;Emailing;10;F;52.90;49.50;1.4;0.18
12/04/2020;1;0;1;PROD-8E9F0A1B;Protection Panoramique;CLI-4D5E6F7A;Sunday;33;Easter;Premium;Social Media;0.17;Autre;161.88;114.63;1.2;0.93
22/04/2020;0;0;0;PROD-811;Mur Lichen Artificiel;CLI-099;Mercredi;9;Jour_Terre;Particulier;Google_Ads;0;F;149.90;141.00;1.6;1.06
01/05/2020;1;1;0;PROD-202;Fauteuil Papillon Velours;CLI-212;Vendredi;9;Fete_Travail;Particulier;None;0;Autre;279.00;294.00;1.2;0.59
01/05/2020;1;1;0;PROD-202;Fauteuil Papillon Velours;CLI-212;Vendredi;9;Fete_Travail;Particulier;None;0;Autre;279.00;294.00;1.2;0.34
05/05/2020;0;0;0;PROD-8B9C0D1E;Campelée Aragis;CLI-9A0B1C2D;Tuesday;25;Cinco de Mayo;Standard;Search Ads;0.12;F;132.75;40.05;0.8;0.93
20/06/2020;1;0;0;PROD-301;Lampe de Chevet Scandinave;CLI-055;Samedi;14;Solstice_Ete;Particulier;Reseaux_Sociaux;0;Autre;79.90;84.00;1.7;0.97
04/07/2020;1;1;1;PROD-4B5C6D7E;Protection Panoramique;CLI-2F3A4B5C;Saturday;30;Independence Day;Premium;Email;0.16;Autre;165.44;110.29;1.2;0.85
11/07/2020;1;0;1;PROD-803;Fontaine Ã  Paroles;CLI-066;Samedi;11;Soldes_Ete;Particulier;Reseaux_Sociaux;20;Autre;199.00;210.00;1.8;0.97
14/07/2020;1;1;1;PROD-104;Canapé d'Angle Velours;CLI-331;Mardi;11;Soldes_Ete;Professionnel;Reseaux_Sociaux;30;F;769.00;730.00;2.0;0.65
14/07/2020;1;1;1;PROD-104;Canapé d'Angle Velours;CLI-331;Mardi;11;Soldes_Ete;Professionnel;Reseaux_Sociaux;30;F;769.00;730.00;2.0;0.25
31/07/2020;1;0;0;PROD-726;Penderie Connectée;CLI-099;Vendredi;11;Soldes_Ete;Particulier;Reseaux_Sociaux;25;F;349.00;330.00;2.0;2.31
08/08/2020;1;0;0;PROD-733;Poutre Apparente Lumineuse;CLI-144;Samedi;7;None;Professionnel;None;0;F;390.00;370.00;1.8;2.31
15/08/2020;1;1;0;PROD-105;Bibliothéque Modulable Noir;CLI-256;Samedi;10;Assomption;Professionnel;None;0;F;329.00;346.00;1.5;1.14
11/09/2020;0;0;0;PROD-9E0F1A2B;Céramique émilie;CLI-5A6B7C8D;Friday;27;Back to School;Premium;Affiliation;0.08;M;144.88;137.45;1.0;0.95
12/09/2020;1;0;0;PROD-303;Plaid en Laine Mérinos;CLI-289;Samedi;8;Rentree;Particulier;Emailing;5;M;67.90;71.00;1.0;1.96
19/09/2020;1;0;0;PROD-608;Suspension Métal Industriel;CLI-122;Samedi;10;Rentree;Professionnel;None;0;M;129.00;135.00;1.0;1.13
01/10/2020;0;0;0;PROD-843;Paravent Holographique;CLI-099;Jeudi;12;None;Particulier;Reseaux_Sociaux;0;F;2490.00;2340.00;1.9;0.47
10/10/2020;1;0;0;PROD-511;Porte-Serviettes Design;CLI-256;Samedi;9;None;Professionnel;Reseaux_Sociaux;0;F;79.50;75.00;1.3;0.52
12/10/2020;0;1;0;PROD-3F0E4D5C;Port de fleurs Design;CLI-1E2F3A4B;Monday;29;Holiday;Standard;TV;0.11;M;112.45;125.67;1.2;0.64
15/10/2020;0;0;0;PROD-302;Bougeoir en Céramique émaillée;CLI-098;Jeudi;12;Halloween;Professionnel;Google_Ads;15;F;43.90;46.00;1.6;6.86
30/10/2020;1;0;0;PROD-741;Décor Holographique Halloween;CLI-144;Vendredi;28;Halloween;Particulier;Influenceurs;30;F;390.00;370.00;2.5;0.48
26/11/2020;1;1;0;PROD-8C9D0E1F;Mivari Boulotre;CLI-1B2C3D4F;Thursday;32;Thanksgiving;Economy;Search Ads;0.08;F;45.91;52.33;0.2;0.29
27/11/2020;1;0;0;PROD-705;Miroir Intelligent;CLI-033;Samedi;15;Black_Friday;Professionnel;Influenceurs;30;F;399.00;420.00;1.7;0.20
12/12/2020;1;0;0;PROD-827;Sapin Magnétique;CLI-099;Samedi;19;Noel;Particulier;Emailing;0;Autre;299.00;315.00;2.8;0.51
15/12/2020;0;0;0;PROD-623;Couronne de Noél;CLI-033;Mardi;30;Noel;Professionnel;Emailing;15;F;49.90;52.00;3.0;0.97
24/12/2020;1;0;0;PROD-302;Bougeoir en Céramique émaillée;CLI-098;Jeudi;28;Noel;Particulier;Emailing;20;M;44.90;47.00;2.8;0.65
24/12/2020;1;0;0;PROD-302;Bougeoir en Céramique émaillée;CLI-098;Jeudi;28;Noel;Particulier;Emailing;20;M;44.90;47.00;2.8;0.65
25/12/2020;1;1;1;PROD-8D9E0F1A;Port de fleurs Design;CLI-4C5D6E7F;Friday;32;Christmas;Standard;TV;0.20;M;125.80;132.45;1.2;0.75
01/01/2021;1;1;1;PROD-2C3D4E5F;Coussins Halloween;CLI-8D9E0F1A;Friday;28;New Year;Economy;Search Ads;0.05;M;180.44;165.89;0.5;0.51
10/01/2021;1;0;1;PROD-103;Table Basse en Chéne Massif;CLI-156;Dimanche;10;Soldes_Hiver;Professionnel;Influenceurs;15;F;144.00;152.00;1.7;0.18
20/01/2021;0;0;1;PROD-502;Cadre Photo Bambou;CLI-121;Mercredi;9;Soldes_Hiver;Particulier;Emailing;20;F;27.50;29.00;1.3;0.17
05/02/2021;0;0;0;PROD-706;Canapé Modulaire écologique;CLI-256;Vendredi;12;None;Particulier;None;0;F;1299.00;1350.00;1.3;0.62
14/02/2021;0;0;0;PROD-609;Coussin Ergonomique;CLI-055;Dimanche;18;Saint_Valentin;Particulier;Influenceurs;15;F;59.90;55.00;1.6;0.17
14/02/2021;0;0;0;PROD-4C5D6E7F;Coussins Halloween;CLI-3B4C5D6E;Sunday;26;Valentine's;Economy;Social Media;0.06;M;192.65;157.64;0.5;0.42
18/03/2021;0;0;0;PROD-503;Suspension Macramé;CLI-045;Jeudi;6;Printemps;Professionnel;None;0;M;74.50;78.00;1.0;3.55
20/03/2021;1;0;0;PROD-742;Plancher Chauffant Design;CLI-099;Samedi;15;Printemps;Professionnel;Emailing;0;F;129.90;122.00;1.7;0.28
22/03/2021;0;0;1;PROD-6C8D2E1F;Saphin Bioluminescent;CLI-8A9B0C1D;Monday;31;Spring Sale;Premium;Affiliation;0.19;Autre;189.99;205.43;0.5;0.91
01/04/2021;0;0;0;PROD-820;Sol Rétractable;CLI-099;Jeudi;9;Poisson_Avril;Professionnel;Reseaux_Sociaux;0;F;2990.00;3140.00;1.4;0.47
03/04/2021;1;0;0;PROD-512;Miroir de Salle de Bain;CLI-144;Samedi;11;Paques;Particulier;Influenceurs;10;M;149.90;157.00;1.6;0.42
18/04/2021;0;0;0;PROD-204;Parure de Coussins;CLI-277;Dimanche;6;Paques;Particulier;None;0;F;57.90;54.25;1.3;7.39
01/05/2021;1;1;0;PROD-202;Fauteuil Papillon Velours;CLI-088;Samedi;11;Fete_Travail;Particulier;Reseaux_Sociaux;0;F;289.00;304.00;1.6;0.52
01/05/2021;1;0;0;PROD-3C4D5E6F;Mivari Boulotre;CLI-9C0D1E2F;Saturday;32;Labor Day;Economy;TV;0.15;F;46.75;50.83;0.2;0.35
15/05/2021;1;0;0;PROD-719;Siége Massant Shiatsu;CLI-045;Samedi;7;Fete_Meres;Professionnel;Influenceurs;15;F;599.00;630.00;1.9;0.41
05/06/2021;1;0;0;PROD-610;Serre-livres Sculpture;CLI-200;Samedi;7;None;Professionnel;Google_Ads;0;M;39.50;41.00;1.2;0.97
21/06/2021;0;0;0;PROD-102;Miroir Bohéme 80cm;CLI-043;Lundi;17;Solstice_Ete;Professionnel;Google_Ads;20;M;169.00;178.00;1.9;1.96
21/06/2021;0;0;0;PROD-4F5A6B7C;Saphin Bioluminescent;CLI-9E0F1A2B;Monday;29;Summer Solstice;Premium;Email;0.23;Autre;193.25;203.78;0.5;0.86
04/07/2021;1;1;1;PROD-4D5E6F7A;Port de fleurs Design;CLI-9C0D1E2F;Sunday;29;Independence Day;Standard;TV;0.11;M;112.45;125.67;1.2;0.64
07/07/2021;1;0;0;PROD-844;Bureau Algues Marines;CLI-256;Samedi;16;Solstice_Ete;Professionnel;Influenceurs;0;M;3990.00;4200.00;2.3;0.28
10/07/2021;1;0;1;PROD-401;Ensemble de Verres Design;CLI-099;Samedi;13;Soldes_Ete;Professionnel;Influenceurs;30;M;43.50;41.00;2.1;0.57
19/07/2021;0;0;0;PROD-2B6C8D1A;Ensemble Verres Design;CLI-9F0E1D2C;Monday;30;Promo Flash;Standard;Affiliation;0.29;F;16.35;45.37;1.0;0.11
24/07/2021;1;0;0;PROD-513;Fauteuil de Bureau Ergonomique;CLI-099;Samedi;7;None;Professionnel;Google_Ads;0;F;299.00;315.00;1.0;7.25
30/07/2021;1;0;0;PROD-707;Suspension Cristaux Swarovski;CLI-045;Vendredi;5;None;Professionnel;Emailing;0;M;899.00;945.00;1.6;0.19
14/08/2021;1;0;0;PROD-812;Luminaires Plancton;CLI-256;Samedi;13;Solstice_Ete;Professionnel;Reseaux_Sociaux;0;M;2990.00;3140.00;2.2;1.80
14/08/2021;1;0;0;PROD-624;Parasol Design;CLI-045;Samedi;16;Solstice_Ete;Particulier;Reseaux_Sociaux;0;M;149.90;140.00;2.2;1.47
15/08/2021;0;0;0;PROD-4E5F6A7B;Campelée Aragis;CLI-9D0E1F2A;Sunday;33;Summer End;Standard;TV;0.12;M;129.45;36.88;0.8;0.69
22/09/2021;1;0;0;PROD-828;Mobilier équinoxe;CLI-256;Mercredi;11;Equinoxe;Professionnel;Reseaux_Sociaux;0;F;1990.00;2090.00;1.7;0.39
25/09/2021;1;0;0;PROD-101;Suspension en Rotin Naturel;CLI-211;Samedi;7;None;Particulier;None;0;F;84.99;89.00;0.8;6.32
31/10/2021;1;0;0;PROD-727;Projecteur Holographique;CLI-200;Samedi;18;Halloween;Professionnel;Influenceurs;0;M;1590.00;1670.00;1.9;5.39
11/11/2021;0;1;0;PROD-301;Lampe de Chevet Scandinave;CLI-189;Jeudi;8;Armistice;Particulier;Emailing;0;M;84.50;88.75;1.2;0.62
11/11/2021;0;1;0;PROD-4A5B6C7D;Pablo Laine Macrines;CLI-9F0A1B2C;Thursday;26;Veterans Day;Standard;Search Ads;0.21;F;81.45;86.92;0.8;0.61
20/11/2021;1;0;0;PROD-804;Lumiére Bioluminescente;CLI-122;Samedi;7;None;Professionnel;Influenceurs;0;F;599.00;630.00;1.5;3.25
12/12/2021;0;0;0;PROD-7C8D9E0F;Pablo Laine Macrines;CLI-1A2B3C4D;Sunday;27;Holiday Season;Standard;Social Media;0.28;F;87.65;92.14;0.8;0.53
15/12/2021;0;0;0;PROD-734;Systéme de Cloisons Amovibles;CLI-099;Mercredi;11;Noel;Professionnel;Emailing;15;M;890.00;840.00;2.5;0.58
